,density,material_id,unit_cell_formula
216,3.114174893715363,mp-1078085,"{'Cs': 2.0, 'Pd': 1.0, 'Cl': 4.0}"
217,6.311170844603035,mp-5818,"{'Tl': 16.0, 'Sn': 4.0, 'S': 16.0}"
218,3.9804063350835825,mp-998778,"{'Rb': 4.0, 'Sn': 4.0, 'Br': 12.0}"
219,4.251460706006004,mp-27301,"{'Rb': 6.0, 'Au': 6.0, 'Cl': 16.0}"
220,4.005427614896802,mp-541055,"{'Cs': 8.0, 'Se': 20.0}"
221,5.398021760039992,mp-7277,"{'Tl': 4.0, 'Ge': 2.0, 'S': 6.0}"
222,3.2942896479476205,mp-29693,"{'Rb': 8.0, 'Ag': 4.0, 'Cl': 12.0}"
223,6.8306122839255625,mp-862631,"{'Ba': 2.0, 'Sb': 1.0, 'Au': 1.0}"
224,3.554949583391213,mp-614603,"{'Cs': 1.0, 'I': 1.0}"
225,4.63547016007957,mp-571418,"{'Rb': 4.0, 'Yb': 4.0, 'Br': 12.0}"
226,5.821252442068851,mp-5513,"{'Tl': 3.0, 'V': 1.0, 'S': 4.0}"
227,4.320556052930853,mp-505113,"{'Ti': 2.0, 'Sn': 12.0, 'F': 32.0}"
228,3.9775945516296174,mp-1103379,"{'Cs': 4.0, 'Sn': 2.0, 'Se': 6.0}"
229,4.534723147146419,mp-8361,"{'Cs': 4.0, 'Te': 4.0}"
230,5.356180845292489,mp-22922,"{'Ag': 1.0, 'Cl': 1.0}"
231,4.18441413254769,mp-638685,"{'Cs': 4.0, 'Eu': 4.0, 'Br': 12.0}"
232,4.166217549145514,mp-29845,"{'Cs': 9.0, 'Hg': 9.0, 'Cl': 27.0}"
233,2.89075032812,mp-1025201,"{'Rb': 2.0, 'Pd': 1.0, 'Cl': 4.0}"
234,4.526485814093939,mp-505634,"{'Cs': 4.0, 'Te': 6.0}"
235,4.8993851899720715,mp-23260,"{'Ba': 4.0, 'I': 8.0}"
236,3.334344232256493,mp-1202720,"{'Cs': 16.0, 'Te': 8.0, 'S': 24.0}"
237,4.232874287306175,mp-1192709,"{'Cs': 6.0, 'Ho': 4.0, 'Br': 18.0}"
238,6.4804735364534585,mp-10401,"{'Tl': 2.0, 'Sn': 1.0, 'F': 6.0}"
239,6.058135248733245,mp-30236,"{'Tl': 16.0, 'As': 16.0, 'Se': 32.0}"
240,3.637818430489527,mp-28315,"{'Rb': 8.0, 'Cd': 2.0, 'Br': 12.0}"
241,4.320928072041695,mp-28932,"{'Sn': 16.0, 'O': 4.0, 'F': 24.0}"
242,4.007957891661226,mp-1104024,"{'Cs': 4.0, 'Ge': 2.0, 'Se': 8.0}"
243,4.099409360990342,mp-28271,"{'Sn': 20.0, 'B': 4.0, 'F': 52.0}"
244,4.151288825389888,mp-23541,"{'K': 2.0, 'Sn': 4.0, 'Br': 10.0}"
245,6.2795263647384,mp-1208111,"{'Tl': 4.0, 'Pb': 8.0, 'Br': 20.0}"
246,4.035467157429328,mp-1112176,"{'Cs': 2.0, 'Tl': 2.0, 'Cl': 6.0}"
247,5.3280872512167425,mp-998746,"{'Tl': 4.0, 'Ge': 4.0, 'Br': 12.0}"
248,3.9214048343885737,mp-998743,"{'Tl': 2.0, 'Ge': 2.0, 'Cl': 6.0}"
249,3.7793075202161663,mp-607987,"{'Cs': 4.0, 'In': 4.0, 'I': 16.0}"
250,5.4445811334983265,mp-680294,"{'Tl': 64.0, 'Cl': 96.0}"
251,4.058849059027553,mp-1188821,"{'Cs': 6.0, 'La': 2.0, 'I': 12.0}"
252,10.708962071582572,mp-864783,"{'Yb': 2.0, 'Sb': 1.0, 'Au': 1.0}"
253,2.918944246478923,mp-23319,"{'Rb': 2.0, 'V': 2.0, 'Cl': 6.0}"
254,4.710058800483002,mp-1069771,"{'Rb': 2.0, 'Pd': 1.0, 'Se': 2.0}"
255,4.363451362117658,mp-1194135,"{'Cs': 6.0, 'Er': 4.0, 'I': 18.0}"
256,4.280429459476678,mp-1193312,"{'Cs': 6.0, 'Er': 4.0, 'Br': 18.0}"
257,3.8257757157706376,mp-28306,"{'Mn': 1.0, 'Br': 2.0}"
258,5.345125447855374,mp-11694,"{'Cs': 2.0, 'Pd': 3.0, 'Se': 4.0}"
259,3.351731375743245,mp-651332,"{'Se': 16.0, 'Br': 64.0}"
260,6.321045050209391,mp-30373,"{'Rb': 1.0, 'Au': 1.0}"
261,4.195472857231442,mp-669304,"{'Cs': 6.0, 'Tb': 4.0, 'Br': 18.0}"
262,3.793359293266544,mp-28564,"{'Rb': 8.0, 'Pb': 2.0, 'Br': 12.0}"
263,4.0006078358326445,mp-23436,"{'Cs': 8.0, 'Pb': 2.0, 'Br': 12.0}"
264,4.8460943068884825,mp-27213,"{'Au': 8.0, 'Br': 24.0}"
265,4.072531072981298,mp-541134,"{'Te': 2.0, 'Au': 2.0, 'Br': 16.0}"
266,3.6217994414482826,mp-567942,"{'Cs': 2.0, 'Re': 1.0, 'Cl': 6.0}"
267,6.396687824327252,mp-1208162,"{'Tl': 2.0, 'Ge': 1.0, 'F': 6.0}"
268,5.128981512699128,mp-1114507,"{'Rb': 2.0, 'Tl': 2.0, 'F': 6.0}"
269,4.830611913456628,mp-1070356,"{'Rb': 2.0, 'Te': 2.0, 'Pd': 1.0}"
270,3.3599680093693327,mp-22903,"{'Rb': 1.0, 'I': 1.0}"
271,6.1287079009630565,mp-28394,"{'Tl': 16.0, 'P': 8.0, 'Se': 24.0}"
272,3.7864079512832878,mp-561639,"{'Cs': 4.0, 'Sb': 4.0, 'S': 8.0}"
273,2.994719924131497,mp-23216,"{'Sn': 4.0, 'Br': 16.0}"
274,4.276752123921144,mp-567644,"{'Rb': 2.0, 'Cu': 4.0, 'Br': 6.0}"
275,3.899354937892519,mp-1192769,"{'Cs': 6.0, 'Tl': 4.0, 'Cl': 18.0}"
276,4.020174245398887,mp-17811,"{'Cs': 12.0, 'Sb': 4.0, 'Se': 16.0}"
277,3.3255350424979215,mp-1211043,"{'Li': 4.0, 'Fe': 4.0, 'Br': 16.0}"
278,3.1936839991833024,mp-23539,"{'K': 2.0, 'Sn': 4.0, 'Cl': 10.0}"
