material_id,band_gap,density,unit_cell_formula
mp-697575,4.0605,2.984927373545256,"{'Rb': 8.0, 'Zn': 4.0, 'H': 16.0}"
mp-1181768,3.8942,3.605605966423371,"{'Cs': 8.0, 'Zn': 4.0, 'H': 16.0}"
mp-1191353,4.7781,2.3525357815825068,"{'Rb': 4.0, 'Ga': 4.0, 'H': 16.0}"
mp-974682,1.4268,3.224051820093315,"{'Rb': 4.0, 'Ga': 4.0, 'H': 8.0}"
mp-1192424,3.3936,2.957491670934834,"{'Sr': 4.0, 'Ga': 4.0, 'H': 20.0}"
mp-984550,4.6253,2.8476502509234614,"{'Cs': 2.0, 'Ga': 2.0, 'H': 8.0}"
mp-1540000,3.1223,3.484058373592367,"{'Ba': 2.0, 'Ga': 2.0, 'H': 10.0}"
mp-643683,0.3889,4.813474704445513,"{'Ba': 10.0, 'Ga': 12.0, 'H': 4.0}"
mp-24338,0.6807,4.386470840404888,"{'Sr': 10.0, 'As': 6.0, 'H': 2.0}"
mp-28797,1.5589,5.558094700145222,"{'Y': 1.0, 'H': 1.0, 'Se': 1.0}"
mp-1025029,1.9162,6.39389864985402,"{'Pr': 2.0, 'H': 2.0, 'Se': 2.0}"
mp-1207192,1.9426,6.658043332670056,"{'Nd': 2.0, 'H': 2.0, 'Se': 2.0}"
mp-1207092,0.6476,7.53676120162499,"{'Gd': 1.0, 'H': 1.0, 'Se': 1.0}"
mp-1207080,1.5536,7.818204531000963,"{'Tb': 1.0, 'H': 1.0, 'Se': 1.0}"
